@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute numTotalMultiset real
@attribute numPartiallySameMultiset real
@attribute numCallDiffMultiset real
@attribute numVarDiffMultiset real
@attribute numTypeDiffMultiset real
@attribute cloneEval {refactored, unrefactored}

@data
2,0,true,false,1.0,9,72,true,3,0.2222222222222222,0.0,false,false,false,false,false,1,1.0,1.1463945890175398E-4,0.09996560816232948,0.0,1.1463945890175398E-4,0.0,5,0.0,0.0,0.8,0.0,unrefactored
2,0,false,false,0.0,11,102,false,0,0.9,0.0,false,false,false,false,false,1,0.5217391304347826,1.1463945890175398E-4,0.09950705032672245,4.5855783560701593E-4,1.1463945890175398E-4,0.0,54,0.0,0.07407407407407407,0.2037037037037037,0.0,unrefactored
3,46,true,false,1.0,18,72,false,1,0.4,0.0,false,true,true,false,true,4,1.0,2.2927891780350797E-4,0.006190530780694715,0.0,0.0,2.2927891780350797E-4,22,0.22727272727272727,0.0,0.4090909090909091,0.045454545454545456,unrefactored
2,0,false,false,1.0,25,201,true,4,0.16666666666666666,0.0,false,false,false,false,false,8,1.0,1.1463945890175398E-4,6.878367534105239E-4,1.1463945890175398E-4,1.1463945890175398E-4,0.0,18,0.0,0.05555555555555555,0.3333333333333333,0.0,unrefactored
3,0,false,false,1.0,21,142,false,1,0.625,0.0,false,false,false,false,false,1,0.6271577006871124,0.0,0.023730367992663075,0.0,0.0,0.0,19,0.5263157894736842,0.10526315789473684,0.10526315789473684,0.0,unrefactored
2,1,true,false,0.9411764705882353,16,75,false,4,0.1,0.0,false,true,true,false,true,2,1.0,1.1463945890175398E-4,0.09996560816232948,0.0,1.1463945890175398E-4,0.0,7,0.0,0.0,0.42857142857142855,0.0,unrefactored
3,19,true,false,0.75,21,167,false,0,0.5294117647058824,0.058823529411764705,false,true,true,false,true,8,1.0,2.2927891780350797E-4,0.09985096870342772,0.0,0.0,2.2927891780350797E-4,4,0.0,0.0,1.0,0.0,unrefactored
2,0,true,false,1.0,11,79,true,8,0.0,0.0,false,false,false,false,false,1,1.0,1.1463945890175398E-4,4.5855783560701593E-4,1.1463945890175398E-4,1.1463945890175398E-4,0.0,0,-1,-1,-1,-1,unrefactored
2,3,true,false,1.0,9,62,false,0,0.3333333333333333,0.0,false,true,true,false,true,3,1.0,3.4391837670526195E-4,0.0904505330734839,0.0,3.4391837670526195E-4,0.0,9,0.0,0.0,0.3333333333333333,0.0,unrefactored
2,1,true,false,0.4583333333333333,22,308,false,0,0.625,0.0,false,true,true,false,true,6,1.0,1.1463945890175398E-4,0.05067064083457526,0.0,1.1463945890175398E-4,0.0,16,0.0,0.125,0.25,0.0,unrefactored
