@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute numTotalMultiset real
@attribute numPartiallySameMultiset real
@attribute numCallDiffMultiset real
@attribute numVarDiffMultiset real
@attribute numTypeDiffMultiset real
@attribute cloneEval {refactored, unrefactored}

@data
2,1,true,true,true,false,1.0,0.032371664634972236,0.0013531799729364006,6.772314777190844E-5,6.772314777190844E-5,0.0014899092509819856,3.386157388595422E-4,6.772314777190844E-5,0.032303941487200324,0.0,6.772314777190844E-5,0.0,15,0.0,0.26666666666666666,0.2,0.0,unrefactored
2,0,true,false,false,false,0.3333333333333333,0.10002708925910876,0.005412719891745603,4.063388866314506E-4,6.772314777190844E-5,0.0037924962752268723,6.772314777190844E-4,4.063388866314506E-4,0.0996207503724773,0.0,4.063388866314506E-4,0.0,7,0.0,0.0,1.0,0.0,unrefactored
2,0,true,true,true,true,1.0,0.10002708925910876,0.0040595399188092015,2.031694433157253E-4,0.0,0.0050792360828931325,0.001083570364350535,6.772314777190844E-5,0.09982391981579304,1.3544629554381688E-4,6.772314777190844E-5,0.0,92,0.0,0.05434782608695652,0.1956521739130435,0.021739130434782608,unrefactored
2,0,true,true,true,true,1.0,0.041040227549776515,0.008119079837618403,0.0014221861032100772,2.031694433157253E-4,0.01693078694297711,0.0011512935121224435,0.0014221861032100772,0.039618041446566436,0.0,0.0014221861032100772,0.0,15,0.0,0.2,0.4,0.0,unrefactored
3,23,true,true,true,false,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.391304347826087,0.0,0.043478260869565216,0.0,unrefactored
2,10,true,true,true,false,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.25,0.25,0.0,unrefactored
2,0,false,false,false,false,0.46153846153846156,0.040092103480969796,0.0013531799729364006,6.772314777190844E-5,0.0,0.0025734796153325207,3.386157388595422E-4,0.0,0.039821210889882164,2.7089259108763376E-4,0.0,0.0,19,0.0,0.10526315789473684,0.15789473684210525,0.0,unrefactored
2,5,true,true,true,false,1.0,0.028105106325342,0.0013531799729364006,1.3544629554381688E-4,0.0,4.063388866314506E-4,0.0,1.3544629554381688E-4,0.027969660029798185,0.0,1.3544629554381688E-4,0.0,27,0.0,0.14814814814814814,0.1111111111111111,0.0,unrefactored
2,0,false,false,false,false,1.0,1.3544629554381688E-4,0.0,0.0,0.0,0.0,0.0,0.0,1.3544629554381688E-4,0.0,0.0,0.0,0,-1,-1,-1,-1,unrefactored
2,10,true,true,true,false,1.0,0.006230529595015576,0.0013531799729364006,2.031694433157253E-4,1.3544629554381688E-4,2.031694433157253E-4,1.3544629554381688E-4,2.031694433157253E-4,0.006027360151699851,0.0,2.031694433157253E-4,0.0,30,0.0,0.03333333333333333,0.03333333333333333,0.0,unrefactored
2,0,true,true,true,true,1.0,0.04198835161858323,0.0013531799729364006,2.7089259108763376E-4,6.772314777190844E-5,0.003115264797507788,0.0011512935121224435,2.7089259108763376E-4,0.0417174590274956,0.0,2.7089259108763376E-4,0.0,16,0.0,0.1875,0.25,0.0,unrefactored
3,0,false,false,false,false,1.0,0.018827035080590547,0.0,0.0,0.0,6.772314777190844E-4,6.772314777190844E-5,0.0,0.018827035080590547,0.0,0.0,0.0,0,-1,-1,-1,-1,unrefactored
2,0,false,false,false,false,1.0,0.021806853582554516,0.0013531799729364006,6.772314777190844E-5,0.0,0.001557632398753894,5.417851821752675E-4,0.0,0.021739130434782608,6.772314777190844E-5,0.0,0.0,1,0.0,0.0,1.0,0.0,unrefactored
4,0,false,false,false,false,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,unrefactored
2,6,true,true,true,false,1.0,0.005824190708384126,0.0,0.0,0.0,1.3544629554381688E-4,0.0,0.0,0.005824190708384126,0.0,0.0,0.0,13,0.0,0.07692307692307693,0.15384615384615385,0.0,unrefactored
2,8,true,true,true,false,1.0,0.018352973046187188,0.0027063599458728013,3.386157388595422E-4,6.772314777190844E-5,5.417851821752675E-4,6.772314777190844E-5,3.386157388595422E-4,0.018014357307327644,0.0,3.386157388595422E-4,0.0,7,0.0,0.0,0.42857142857142855,0.0,unrefactored
2,0,true,false,false,false,0.5806451612903226,0.10002708925910876,0.006765899864682003,0.001083570364350535,2.031694433157253E-4,0.005756467560612218,0.0014899092509819856,1.3544629554381688E-4,0.0987403494514425,0.0011512935121224435,1.3544629554381688E-4,0.0,3,0.0,0.0,0.0,0.0,unrefactored
2,6,true,false,false,false,0.4,0.10002708925910876,0.0013531799729364006,7.449546254909928E-4,2.031694433157253E-4,0.0031829879452796965,0.0010158472165786266,3.386157388595422E-4,0.09928213463361778,4.063388866314506E-4,3.386157388595422E-4,0.0,28,0.0,0.07142857142857142,0.10714285714285714,0.0,unrefactored
2,11,false,false,false,false,0.4,0.009955302722470541,0.0013531799729364006,3.386157388595422E-4,2.031694433157253E-4,0.001083570364350535,3.386157388595422E-4,6.772314777190844E-5,0.02295814709467696,6.09508329947176E-4,6.772314777190844E-5,0.0,42,0.0,0.047619047619047616,0.19047619047619047,0.0,unrefactored
