@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute cloneEval {refactored, unrefactored}

@data
2,1,true,false,8,54,1.0,54,326,true,1,0.4230769230769231,0.038461538461538464,false,unrefactored
3,0,true,false,126,20,1.0,20,170,true,1,0.3333333333333333,0.0,false,unrefactored
2,9,true,false,46,75,0.8266666666666667,62,289,true,10,0.05405405405405406,0.0,false,unrefactored
2,1,true,false,55,24,1.0,24,85,false,0,0.1,0.3,false,unrefactored
3,0,true,false,68,133,0.06766917293233082,9,89,false,0,0.0,0.0,false,unrefactored
5,88,false,false,145,11,1.0,11,93,true,3,0.5,0.0,false,unrefactored
4,64,true,false,154,45,0.5555555555555556,25,130,true,9,0.05,0.0,false,unrefactored
2,0,true,true,15,285,0.031578947368421054,9,86,true,2,0.0,0.0,true,unrefactored
2,0,true,true,110,106,0.0660377358490566,7,61,true,1,0.7142857142857143,0.0,true,unrefactored
5,78,true,false,38,12,1.0,12,110,true,12,0.0,0.0,false,unrefactored
2,0,false,true,40,48,0.2916666666666667,14,96,true,5,0.09090909090909091,0.0,true,unrefactored
2,1,true,false,87,29,1.0,29,94,false,0,0.6,0.0,false,unrefactored
2,1,true,false,174,32,1.0,32,93,false,0,0.5,0.0,false,unrefactored
12,48,true,false,76,26,1.0,26,308,false,0,0.6,0.0,false,unrefactored
3,3,true,false,45,10,1.0,10,51,false,0,0.25,0.0,false,unrefactored
4,77,true,false,126,17,1.0,17,127,true,2,0.07142857142857142,0.0,false,unrefactored
3,3,true,true,53,37,0.43243243243243246,16,146,true,1,0.42857142857142855,0.0,true,unrefactored
2,1,true,false,10,47,1.0,47,340,false,0,0.4857142857142857,0.0,false,unrefactored
7,406,true,false,27,8,1.0,8,81,false,0,0.5,0.0,false,unrefactored
5,41,true,false,1,26,1.0,26,66,false,1,0.375,0.0,false,unrefactored
2,0,true,false,85,12,1.0,12,121,false,0,0.45454545454545453,0.0,false,unrefactored
2,7,false,false,87,35,1.0,35,165,true,13,0.0967741935483871,0.0,false,unrefactored
2,0,false,false,39,38,1.0,38,150,true,14,0.0,0.0,false,unrefactored
2,1,true,false,102,22,1.0,22,76,false,1,0.42857142857142855,0.0,false,unrefactored
2,0,false,false,49,36,1.0,36,230,true,6,0.06451612903225806,0.0,false,unrefactored
2,0,true,true,6,99,0.13131313131313133,13,109,true,4,0.38461538461538464,0.0,true,unrefactored
2,0,false,false,18,17,1.0,17,142,true,6,0.3125,0.0,false,unrefactored
2,0,true,false,102,28,0.9642857142857143,27,341,true,12,0.4230769230769231,0.0,false,unrefactored
8,0,false,true,21,71,0.14084507042253522,10,87,true,3,0.3333333333333333,0.0,true,unrefactored
2,8,true,false,20,17,1.0,17,40,false,0,0.5,0.0,false,unrefactored
2,0,false,true,89,103,0.13592233009708737,14,90,true,5,0.15384615384615385,0.0,true,unrefactored
2,0,false,false,53,11,1.0,11,70,true,3,0.0,0.0,false,unrefactored
2,23,true,false,32,10,1.0,10,77,false,0,0.5555555555555556,0.0,false,unrefactored
2,0,false,true,0,138,0.11594202898550725,16,72,true,4,0.0,0.0,false,unrefactored
4,51,true,false,0,29,1.0,29,150,false,0,0.3125,0.0,false,unrefactored
4,51,true,false,5,29,1.0,29,150,false,0,0.3125,0.0,false,unrefactored
3,3,true,false,101,78,1.0,78,207,false,0,0.3333333333333333,0.0,false,unrefactored
2,5,true,false,139,43,1.0,43,334,true,20,0.0,0.0,false,unrefactored
2,1,true,false,120,25,1.0,25,54,false,0,0.5,0.0,false,unrefactored
2,0,true,false,14,160,0.0625,10,82,false,0,0.42857142857142855,0.0,false,unrefactored
2,0,false,false,132,26,0.5769230769230769,15,103,true,9,0.0,0.0,false,unrefactored
2,0,false,true,30,54,0.18518518518518517,10,94,true,5,0.0,0.0,true,unrefactored
